회사명,경력,고용형태,연봉,근무지
주)리젠아이티,관계없음,정규직,"연봉 2,500만원 ~4,000만원",근무지 경기도 남양주시 다산중앙로19번길 25-23
(주)에스앤피소프트,신입,정규직,월급 250만원 ~350만원,근무지 충청북도 음성군 맹동면 태정로 6
(주)에스앤피소프트,경력(최소 1년 이상),계약직,월급 350만원 ~550만원,근무지 충청북도 음성군 맹동면 태정로 6
주식회사 열매미디어,경력(최소 3년 이상),정규직,"연봉 3,400만원 ~5,000만원",근무지 서울특별시 도봉구 노해로69길 15-15
(주)로텍스,경력(최소 2년 이상),정규직,"연봉 4,000만원 ~6,000만원",근무지 서울특별시 금천구 가산디지털2로 108
(주)타파크로스,경력(최소 3년 이상),정규직,"연봉 3,500만원 ~6,000만원",근무지 서울특별시 성동구 성수이로10길 14
정소프트웨어 주식회사,경력(최소 8년 이상),계약직,월급 500만원 이상,근무지 인천광역시 중구 공항동로1길 20-26
주식회사 링크업소프트,경력(최소 3년 이상),계약직,"연봉 3,000만원 ~6,500만원",근무지 경기도 김포시 태장로 789
더나은커뮤니케이션,경력(최소 2년 이상),정규직,"연봉 4,000만원 이상",근무지 서울특별시 강남구 학동로 313
주식회사 엔유비즈,경력(최소 1년 이상),정규직,월급 275만원 이상,근무지 광주광역시 서구 상무평화로 89
주식회사 소와소,경력(최소 5년 이상),정규직,"연봉 4,000만원 ~5,500만원",근무지 서울특별시 강서구 마곡중앙로 171
아키시스템즈(주),관계없음,정규직,"연봉 2,800만원 ~4,000만원",근무지 서울특별시 양천구 목동중앙북로 93-5
주식회사 포롱,경력(최소 1년 이상),계약직,월급 300만원 이상,근무지 서울특별시 강남구 논현로58길 27
주식회사엠아이티능력개발원,경력(최소 1년 이상),정규직,"연봉 5,000만원 이상",근무지 경기도 수원시 권선구 덕영대로1201번길 28
주식회사 인아이티,경력(최소 8년 이상),정규직,"연봉 5,000만원 이상",근무지 대전광역시 대덕구 대화로 120
(주)에스앤피소프트,신입,정규직,월급 230만원 ~350만원,근무지 서울특별시 영등포구 선유로 146
지코스트,관계없음,계약직,월급 300만원 이상,근무지 서울특별시 강남구 역삼로 114
주식회사 기반,경력(최소 2년 이상),정규직,월급 250만원 ~300만원,근무지 경기도 안양시 동안구 시민대로248번길 25
(주)타파크로스,경력(최소 3년 이상),정규직,"연봉 3,500만원 ~6,000만원",근무지 서울특별시 성동구 성수이로10길 14
(주)데이타게이트코리아,경력(최소 2년 이상),정규직,"연봉 3,200만원 ~3,500만원",근무지 서울특별시 구로구 디지털로 273
에이티이정보주식회사,경력(최소 1년 이상),정규직,"연봉 4,000만원 이상",근무지 서울특별시 영등포구 양평로21길 26
주식회사 지메이드,관계없음,정규직,"연봉 2,500만원 ~3,500만원",근무지 울산광역시 남구 대학로 93
(주)유시스뱅크,관계없음,정규직,"연봉 2,500만원 ~4,000만원",근무지 경기도 고양시 일산서구 강선로 49
(주)제이앤밸류,관계없음,정규직,"연봉 2,800만원 이상",근무지 대전광역시 유성구 반석로 14
(주)테크밸리시스템,신입,정규직,"연봉 3,000만원 이상",근무지 서울특별시 금천구 가산디지털1로 149
(주)우리요,경력(최소 3년 이상),정규직,"연봉 4,000만원 ~6,000만원",근무지 전라북도 전주시 완산구 홍산남로 75
소문,신입,정규직,"연봉 2,450만원 ~8,000만원",근무지 대전광역시 서구 갈마로 209
이에스지아이,관계없음,정규직,"연봉 2,500만원 ~4,000만원",근무지 서울특별시 금천구 서부샛길 606
(주)네오비트,관계없음,정규직,"연봉 4,000만원 이상",근무지 경상남도 진주시 돗골로 19
중앙직업전문학교,경력(최소 1년 이상),정규직,N/A,근무지 대구 중구
(주)코비젼,경력(최소 2년 이상),정규직,"연봉 3,000만원 이상",근무지 서울특별시 강서구 마곡중앙8로7길 11
뉴로라인즈,경력(최소 3년 이상),정규직,월급 275만원 ~500만원,근무지 서울특별시 서초구 태봉로 114
주식회사 에이치앤에스티,경력(최소 3년 이상),정규직,"연봉 4,500만원 ~7,000만원",근무지 경기도 부천시 석천로 345
(주)티젠소프트,관계없음,정규직,월급 225만원 ~240만원,근무지 서울특별시 금천구 가산디지털2로 184
(주)코젠아이,관계없음,정규직,"연봉 2,500만원 ~6,000만원",근무지 서울특별시 서초구 강남대로10길 6
(주)허브메카,신입,정규직,"연봉 2,600만원 ~2,800만원",근무지 서울특별시 구로구 디지털로27길 36
(주)씨앤케이피,관계없음,정규직,"연봉 2,500만원 ~3,200만원",근무지 서울특별시 금천구 서부샛길 606
(주)에이블정보시스템,"신입, 경력",정규직,"연봉 3,500만원 ~4,000만원",근무지 서울 등
스마터빌드주식회사,관계없음,정규직,"연봉 3,000만원 ~8,000만원",근무지 경기도 수원시 영통구 신원로 55
(주)인플라이,관계없음,정규직,"연봉 3,000만원 ~4,000만원",근무지 제주특별자치도 제주시 한라대학로 38
(주)레어소프트,경력(최소 2년 이상),정규직,"연봉 3,000만원 ~6,000만원",근무지 서울특별시 금천구 범안로 1130
(주)대유넥스티어,관계없음,정규직,"연봉 3,200만원 이상",근무지 서울특별시 성동구 상원12길 34
(주)리턴트루,경력(최소 3년 이상),정규직,"연봉 4,000만원 ~4,500만원",근무지 경기도 수원시 권선구 일월천로4번길 53
(주)소프트넷,경력(최소 3년 이상),정규직,"연봉 4,000만원 ~8,000만원",근무지 서울특별시 강남구 삼성로 566
주식회사 자바머신,신입,계약직,"연봉 2,500만원 ~2,700만원",근무지 경기도 화성시 송산면 송산산단길 117
솔브리드플러스,경력(최소 3년 이상),정규직,"연봉 3,200만원 ~3,800만원",근무지 서울특별시 금천구 가산디지털1로 128
(주)에스알시스템,경력(최소 1년 이상),정규직,월급 202만원 이상,근무지 대구광역시 북구 조야로12길 22
(사)경찰공제회,경력(최소 1년 이상),계약직,"연봉 3,671만원 ~6,173만원",근무지 서울특별시 마포구 마포대로 78
(주)다이나솔루션,관계없음,정규직,"연봉 3,000만원 ~3,500만원",근무지 경상남도 김해시 상동면 소락로 174
더벗,경력(최소 3년 이상),계약직,"연봉 3,000만원 ~5,000만원",근무지 서울특별시 마포구 매봉산로 37
주식회사 리스트,관계없음,계약직,월급 233만원 ~233만원,근무지 서울특별시 강서구 화곡로 416
(주)타파크로스,경력(최소 3년 이상),정규직,"연봉 3,500만원 ~6,000만원",근무지 서울특별시 성동구 성수이로10길 14
(주)인플라이,관계없음,정규직,"연봉 3,000만원 ~4,000만원",근무지 제주특별자치도 제주시 한라대학로 38
포에버 I C T,신입,정규직,"연봉 3,000만원 이상",근무지 서울특별시 구로구 디지털로31길 20
(주)인프라칩,경력(최소 1년 이상),정규직,"연봉 3,000만원 ~4,000만원",근무지 경기도 하남시 검단산로 239
(주)인프라칩,경력(최소 1년 이상),정규직,"연봉 3,000만원 ~4,000만원",근무지 경기도 하남시 검단산로 239
스마터빌드주식회사,관계없음,정규직,"연봉 2,500만원 ~3,500만원",근무지 경기도 수원시 영통구 신원로 55
스마터빌드주식회사,관계없음,정규직,"연봉 3,000만원 ~8,000만원",근무지 경기도 수원시 영통구 신원로 55
(주)다인시스,경력(최소 2년 이상),정규직,"연봉 4,000만원 이상",근무지 경기도 수원시 영통구 덕영대로1556번길 16
(주)다인시스,관계없음,정규직,"연봉 3,000만원 이상",근무지 경기도 수원시 영통구 덕영대로1556번길 16
한국디지털직업전문학교,관계없음,계약직,"시급 30,000원 이상",근무지 대구광역시 동구 신암로 128
(주)성진하이텍,관계없음,정규직,"연봉 3,000만원 ~3,000만원",근무지 서울특별시 금천구 벚꽃로 278 278
커리어커넥트(주),경력(최소 3년 이상),정규직,N/A,근무지 서울
주식회사 나물소프트,경력(최소 3년 이상),정규직,"연봉 3,500만원 ~6,000만원",근무지 경기도 남양주시 별내3로 402
(주)에이치알맨파워그룹,경력(최소 2년 이상),정규직,N/A,근무지 서울 중구
커리어커넥트(주),경력(최소 7년 이상),정규직,N/A,근무지 서울
(주)인터엠,석사,관계없음,N/A,근무지 서울 도봉구
(주)엔터웨이파트너스,경력(최소 3년 이상),정규직,N/A,근무지 서울
(주)엠버저,경력(최소 5년 이상),정규직,"연봉 5,000만원 이상",근무지 대전광역시 유성구 문지로 272-37
엔셀주식회사,신입,정규직,"연봉 3,200만원 ~3,500만원",근무지 경기도 성남시 분당구 성남대로 393
주식회사 펜타에스,경력(최소 2년 이상),정규직,"연봉 3,200만원 ~5,000만원",근무지 서울특별시 강서구 공항대로 247
(주)잡뉴스솔로몬서치,경력(최소 6년 이상),정규직,N/A,근무지 서울 강남구
주식회사 리턴트루,경력(최소 3년 이상),정규직,"연봉 4,500만원 ~5,000만원",근무지 경기 수원시 권선구 등
프로소프트,신입,정규직,월급 205만원 ~220만원,근무지 경상남도 창원시 의창구 창원대로18번길 46
주식회사 나물소프트,신입,계약직,"연봉 2,450만원 ~3,000만원",근무지 경기도 남양주시 별내3로 402
(주)위드마루,경력(최소 1년 이상),정규직,"연봉 3,000만원 ~4,500만원",근무지 대구광역시 달서구 성서공단북로 156
(주)아이티투게더,관계없음,정규직,"연봉 3,000만원 이상",근무지 대전광역시 유성구 온천로 59
주식회사 소프트아이,신입,정규직,"연봉 2,800만원 ~3,000만원",근무지 서울특별시 종로구 새문안로 69
주식회사쓰리케이비카스,경력(최소 3년 이상),정규직,"연봉 3,000만원 ~6,000만원",근무지 서울특별시 강동구 강동대로 177
(주)우리요,경력(최소 3년 이상),정규직,"연봉 4,000만원 ~6,000만원",근무지 전북 전주시 완산구 등
주식회사 엘앤디시스템,경력(최소 3년 이상),정규직,"연봉 4,000만원 이상",근무지 서울특별시 영등포구 선유로 70
(주)에이치알맨파워그룹,경력(최소 5년 이상),정규직,N/A,근무지 서울 영등포구
(주)디세이코리아,관계없음,정규직,"연봉 2,500만원 ~4,000만원",근무지 경기도 용인시 수지구 광교중앙로 338
(주)다온정보기술,경력(최소 1년 이상),정규직,월급 250만원 ~300만원,근무지 전라북도 전주시 덕진구 반룡로 109
(주)가온지능정보,신입,정규직,"연봉 4,500만원 이상",근무지 서울특별시 동대문구 회기로 37
(주)가온지능정보,경력(최소 3년 이상),정규직,"연봉 4,500만원 이상",근무지 서울특별시 동대문구 회기로 37
아이리스닷넷,경력(최소 1년 이상),정규직,"연봉 2,412만원 이상",근무지 대전광역시 유성구 테크노1로 75
리얼아이브이,신입,정규직,"연봉 2,800만원 ~2,800만원",근무지 서울특별시 송파구 송파대로 167
(주)비트컴퓨터,경력(최소 1년 이상),정규직,"연봉 3,400만원 ~3,700만원",근무지 서울특별시 서초구 서초대로74길 33
(주)파인씨앤아이,관계없음,정규직,"연봉 3,000만원 ~6,000만원",근무지 서울특별시 송파구 백제고분로 237
(주)세이프소프트,경력(최소 3년 이상),정규직,"연봉 5,000만원 ~6,000만원",근무지 경기도 성남시 중원구 양현로405번길 4-11
(주)에스티로직,경력(최소 1년 이상),정규직,N/A,근무지 서울 송파구 등
(주) 소셜써치코리아,경력(최소 7년 이상),정규직,N/A,근무지 서울 강서구
(주)에이치알맨파워그룹,경력(최소 10년 이상),정규직,N/A,근무지 서울 중구
대성,경력(최소 2년 이상),계약직,"연봉 2,600만원 ~6,000만원",근무지 전라북도 전주시 덕진구 반룡로 109
(주)이노시스컴퍼니,관계없음,정규직,"연봉 2,700만원 이상",근무지 서울특별시 구로구 디지털로33길 11
(주)한길티아이에스,경력(최소 1년 이상),정규직,월급 250만원 ~670만원,근무지 서울특별시 서초구 서초중앙로 87
주식회사 뉴로서킷,관계없음,정규직,"연봉 3,000만원 ~5,000만원",근무지 경기도 고양시 일산동구 호수로 646-30
(주)비케이아이티,경력(최소 2년 이상),정규직,"연봉 3,000만원 ~5,000만원",근무지 서울특별시 서초구 논현로 87
(주)모나스벤타나,경력(최소 1년 이상),정규직,월급 230만원 ~400만원,근무지 서울특별시 성북구 숭인로 72
(주)티파이브온라인,경력(최소 3년 이상),정규직,"연봉 3,500만원 ~6,000만원",근무지 서울특별시 금천구 가산디지털2로 98
(주)티엔글로벌,경력(최소 2년 이상),정규직,월급 202만원 ~260만원,근무지 광주광역시 서구 마륵로 90
(주)제이앤퍼스트,경력(최소 3년 이상),정규직,"연봉 3,200만원 ~6,000만원",근무지 경기도 성남시 분당구 황새울로360번길 21
㈜다래파크텍,경력(최소 3년 이상),정규직,연봉 회사 내규에 따름,근무지 서울 송파구
(주)소프트온,신입,정규직,월급 225만원 이상,근무지 서울특별시 금천구 가산디지털2로 101
(주)광진시스템,관계없음,계약직,월급 230만원 ~260만원,근무지 경기도 광명시 광명로 441-20
(주)에이프로솔루션,신입,정규직,"연봉 3,000만원 ~3,200만원",근무지 경기도 의왕시 성고개로 53
㈜티콘시스템,"신입, 경력",계약직,연봉 회사 내규에 따름,근무지 서울 구로구 등
㈜준소프트웨어,"신입, 경력",정규직,"연봉 2,600만원 ~2,700만원",근무지 서울 강남구 등
교육지대㈜,경력(최소 2년 이상),정규직,연봉 회사 내규에 따름,근무지 서울 구로구
㈜비욘드아이앤씨,경력(최소 3년 이상),정규직,연봉 회사 내규에 따름,근무지 서울 성동구
주식회사 레플러스,경력(최소 1년 이상),계약직,"연봉 3,000만원 ~5,000만원",근무지 서울특별시 광진구 능동로 279
광신공조산업,관계없음,정규직,"연봉 3,276만원 이상",근무지 부산광역시 부산진구 시민공원로76번길 46-6
(주)아이웍스,경력(최소 3년 이상),정규직,"연봉 2,412만원 ~3,600만원",근무지 전라남도 순천시 강남로 51
이지미디어,경력(최소 1년 이상),정규직,연봉 회사 내규에 따름,근무지 서울 구로구 등
비엠테크,신입,정규직(시간제),"시급 73,280원 ~80,000원",근무지 경기도 화성시 팔탄면 무하로 201
(주)한국메탈,경력(최소 5년 이상),정규직,"연봉 4,200만원 이상",근무지 경상북도 경주시 외동읍 문산공단안길 25-7
(주)씨지라이팅,관계없음,정규직,"연봉 3,000만원 이상",근무지 경기도 의왕시 이미로(포일동 653) 40
반디비즈,관계없음,정규직,"연봉 2,500만원 이상",근무지 경기도 안양시 동안구 시민대로 187
㈜천재교과서,관계없음,정규직,연봉 회사 내규에 따름,근무지 서울 금천구
테크앤아이코리아(주),경력(최소 2년 이상),계약직,"연봉 3,000만원 ~5,000만원",근무지 서울특별시 영등포구 선유로3길 10
(주)인포이지,신입,정규직,월급 220만원 이상,근무지 경기도 성남시 분당구 탄천상로 164
㈜에스엠솔루션즈,경력(최소 5년 이상),정규직,연봉 회사 내규에 따름,근무지 경기 수원시 영통구 등
(주)피어스넷,관계없음,정규직,"연봉 2,560만원 이상",근무지 서울특별시 강서구 마곡중앙6로 70
(주)에버정보기술,경력(최소 2년 이상),정규직,"연봉 4,000만원 이상",근무지 대전광역시 유성구 테크노3로 65
주식회사 넥투비,관계없음,정규직,"연봉 2,500만원 ~4,000만원",근무지 울산광역시 북구 모듈화산업로 161
(주)제이케이로보틱스,관계없음,정규직,"연봉 2,500만원 이상",근무지 경기도 시흥시 공단1대로196번길 132
(주)비케이아이티,경력(최소 3년 이상),정규직,"연봉 3,000만원 이상",근무지 서울특별시 서초구 논현로 87
일오삼디에스랩(주),관계없음,계약직,"연봉 4,000만원 ~9,000만원",근무지 서울특별시 성동구 아차산로7길 15-1
플라잉스톤,관계없음,정규직,월급 210만원 이상,근무지 대구광역시 동구 동대구로 469
이공일컴퍼니(주),관계없음,계약직,"연봉 2,640만원 이상",근무지 서울특별시 강남구 언주로 432
전북과학대학산학협력단,신입,계약직,"연봉 2,550만원 ~2,600만원",근무지 전라북도 정읍시 정읍사로 509
(주)일월종합가구,경력(최소 3년 이상),계약직,월급 270만원 ~300만원,근무지 경기도 광주시 초월읍 산수로226번길 20-5
극동가스케트공업(주),경력(최소 3년 이상),정규직,"연봉 3,500만원 이상",근무지 인천광역시 남동구 남동대로 332
(주)프리즘엠아이텍,관계없음,정규직,월급 210만원 ~230만원,근무지 서울특별시 영등포구 63로 32
서울대학교언어교육원,관계없음,정규직,"연봉 2,800만원 이상",근무지 서울특별시 관악구 관악로 1
(사)해외건설협회,관계없음,정규직,월급 290만원 ~350만원,근무지 서울특별시 중구 세종대로9길 42
아키시스템즈(주),관계없음,정규직,"연봉 3,000만원 이상",근무지 서울특별시 양천구 목동중앙북로 93-5
주식회사 씨드앤,경력(최소 1년 이상),정규직,"연봉 3,000만원 ~5,000만원",근무지 서울특별시 성동구 왕십리로 115
서희자연어린이집,신입,정규직,월급 201만원 이상,근무지 경기도 양주시 화합로1325번길 22-33
주식회사이프커뮤니티,경력(최소 3년 이상),정규직,"연봉 3,600만원 이상",근무지 서울특별시 성동구 아차산로17길 49
농업회사법인(주)거북이농산,경력(최소 1년 이상),정규직,월급 210만원 이상,근무지 경상북도 칠곡군 지천면 신동로5길 74
바른기업,관계없음,정규직,"일급 140,000원 ~170,000원",근무지 경상남도 거제시 거제대로 3370
주식회사 에이제트홀딩스,관계없음,정규직,월급 202만원 ~202만원,근무지 광주광역시 북구 삼정로 6
